"filename", "language", "JSON", "XML", "Properties", "Java", "comment", "blank", "total"
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.1\error\otherProtocolImportInBgpInfo.json", "JSON", 5, 0, 0, 0, 0, 0, 5
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.1\error\provenanceInfo.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.1\error\relatedStaticAndDirectInfo.json", "JSON", 26, 0, 0, 0, 0, 0, 26
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.1\error\vpnBindingInfo.json", "JSON", 6940, 0, 0, 0, 0, 0, 6940
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG1.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG10.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG11.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG12.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG13.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG14.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG15.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG16.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG17.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG18.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG19.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG2.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG20.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG21.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG22.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG23.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG24.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG25.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG26.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG27.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG28.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG29.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG3.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG30.cfg", "Properties", 0, 0, 88, 0, 25, 1, 114
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG4.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG5.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG6.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG7.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG8.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BNG9.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BR1.cfg", "Properties", 0, 0, 125, 0, 34, 1, 160
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BR2.cfg", "Properties", 0, 0, 125, 0, 34, 1, 160
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BR3.cfg", "Properties", 0, 0, 125, 0, 34, 1, 160
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\BR4.cfg", "Properties", 0, 0, 125, 0, 34, 1, 160
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\CR1.cfg", "Properties", 0, 0, 320, 0, 43, 1, 364
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\CR2.cfg", "Properties", 0, 0, 320, 0, 43, 1, 364
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\correct\otherProtocolImportInBgpInfo.json", "JSON", 25, 0, 0, 0, 0, 0, 25
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\correct\provenanceInfo.json", "JSON", 8908, 0, 0, 0, 0, 0, 8908
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\correct\relatedStaticAndDirectInfo.json", "JSON", 907, 0, 0, 0, 0, 0, 907
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\correct\vpnBindingInfo.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\error\otherProtocolImportInBgpInfo.json", "JSON", 5, 0, 0, 0, 0, 0, 5
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\error\provenanceInfo.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\error\relatedStaticAndDirectInfo.json", "JSON", 26, 0, 0, 0, 0, 0, 26
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.2\error\vpnBindingInfo.json", "JSON", 6940, 0, 0, 0, 0, 0, 6940
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG1.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG10.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG11.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG12.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG13.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG14.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG15.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG16.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG17.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG18.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG19.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG2.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG20.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG21.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG22.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG23.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG24.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG25.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG26.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG27.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG28.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG29.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG3.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG30.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG4.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG5.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG6.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG7.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG8.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BNG9.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BR1.cfg", "Properties", 0, 0, 125, 0, 34, 1, 160
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BR2.cfg", "Properties", 0, 0, 125, 0, 34, 1, 160
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BR3.cfg", "Properties", 0, 0, 125, 0, 34, 1, 160
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\BR4.cfg", "Properties", 0, 0, 125, 0, 34, 1, 160
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\CR1.cfg", "Properties", 0, 0, 320, 0, 43, 1, 364
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\CR2.cfg", "Properties", 0, 0, 320, 0, 43, 1, 364
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\correct\otherProtocolImportInBgpInfo.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\correct\provenanceInfo.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\correct\relatedStaticAndDirectInfo.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\correct\vpnBindingInfo.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\error\otherProtocolImportInBgpInfo.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\error\provenanceInfo.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\error\relatedStaticAndDirectInfo.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\error\vpnBindingInfo.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG1.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG10.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG11.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG12.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG13.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG14.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG15.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG16.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG17.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG18.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG19.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG2.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG20.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG21.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG22.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG23.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
